Item name: Prompt

Real time: 37.975
Live time: 0
Time calibration: 5.486969E-02ns/ch

Comment: 


Chan	Data
1	1
2	0
3	1
4	1
5	0
6	1
7	1
8	2
9	1
10	0
11	1
12	0
13	1
14	0
15	0
16	1
17	0
18	1
19	0
20	0
21	2
22	0
23	2
24	2
25	1
26	1
27	1
28	1
29	2
30	2
31	0
32	1
33	0
34	0
35	0
36	2
37	0
38	3
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	2
48	0
49	1
50	0
51	0
52	1
53	1
54	2
55	0
56	3
57	1
58	2
59	1
60	0
61	1
62	1
63	1
64	0
65	1
66	1
67	1
68	1
69	0
70	0
71	2
72	1
73	0
74	1
75	2
76	0
77	0
78	2
79	1
80	1
81	0
82	0
83	1
84	1
85	2
86	2
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	1
100	1
101	0
102	2
103	0
104	0
105	0
106	1
107	1
108	0
109	1
110	1
111	1
112	0
113	0
114	0
115	0
116	1
117	1
118	0
119	0
120	1
121	2
122	0
123	2
124	1
125	0
126	1
127	0
128	2
129	0
130	0
131	1
132	0
133	1
134	0
135	0
136	2
137	1
138	4
139	1
140	0
141	1
142	1
143	0
144	1
145	1
146	1
147	1
148	1
149	0
150	1
151	1
152	2
153	2
154	1
155	0
156	1
157	0
158	1
159	0
160	0
161	0
162	1
163	0
164	1
165	1
166	0
167	1
168	0
169	2
170	0
171	0
172	1
173	3
174	0
175	2
176	0
177	0
178	1
179	0
180	0
181	2
182	4
183	0
184	0
185	0
186	0
187	1
188	0
189	2
190	0
191	3
192	2
193	1
194	1
195	0
196	1
197	0
198	0
199	0
200	2
201	1
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	1
211	0
212	1
213	1
214	1
215	0
216	0
217	1
218	1
219	3
220	0
221	0
222	0
223	0
224	0
225	1
226	0
227	1
228	0
229	0
230	0
231	3
232	1
233	1
234	0
235	2
236	0
237	0
238	1
239	2
240	0
241	0
242	1
243	0
244	0
245	0
246	2
247	0
248	1
249	0
250	0
251	0
252	0
253	1
254	1
255	0
256	0
257	2
258	1
259	1
260	0
261	0
262	1
263	0
264	1
265	3
266	1
267	0
268	0
269	0
270	1
271	2
272	0
273	0
274	1
275	0
276	0
277	0
278	1
279	1
280	1
281	1
282	0
283	2
284	0
285	0
286	0
287	0
288	1
289	0
290	0
291	0
292	2
293	1
294	0
295	1
296	2
297	0
298	2
299	0
300	0
301	0
302	1
303	0
304	0
305	0
306	0
307	1
308	2
309	1
310	1
311	0
312	2
313	0
314	2
315	1
316	1
317	2
318	0
319	0
320	0
321	0
322	0
323	0
324	2
325	0
326	0
327	0
328	0
329	0
330	1
331	0
332	1
333	0
334	1
335	0
336	0
337	2
338	4
339	0
340	3
341	1
342	1
343	3
344	0
345	0
346	1
347	0
348	2
349	0
350	0
351	0
352	0
353	1
354	0
355	1
356	0
357	1
358	0
359	0
360	1
361	1
362	0
363	1
364	2
365	1
366	1
367	1
368	1
369	1
370	0
371	1
372	0
373	0
374	2
375	0
376	2
377	2
378	4
379	7
380	8
381	8
382	8
383	10
384	16
385	14
386	14
387	29
388	33
389	42
390	58
391	75
392	97
393	126
394	170
395	244
396	343
397	454
398	677
399	867
400	1133
401	1523
402	1985
403	2419
404	3169
405	3985
406	4512
407	5496
408	6252
409	7013
410	7754
411	8585
412	9036
413	9351
414	9528
415	9826
416	10001
417	9963
418	9802
419	9814
420	9638
421	9750
422	9217
423	9064
424	8678
425	8509
426	8148
427	7909
428	7556
429	7409
430	7102
431	6908
432	6481
433	6276
434	6180
435	6080
436	5701
437	5711
438	5302
439	5194
440	5109
441	4871
442	4757
443	4702
444	4370
445	4379
446	4316
447	4265
448	3899
449	3865
450	3728
451	3719
452	3646
453	3462
454	3509
455	3400
456	3220
457	3191
458	3062
459	3009
460	2896
461	2807
462	2764
463	2610
464	2545
465	2543
466	2347
467	2361
468	2325
469	2158
470	2116
471	2144
472	1975
473	2003
474	1999
475	1900
476	1796
477	1884
478	1793
479	1635
480	1711
481	1566
482	1584
483	1528
484	1550
485	1486
486	1492
487	1458
488	1448
489	1391
490	1409
491	1255
492	1290
493	1262
494	1210
495	1180
496	1124
497	1068
498	1120
499	1065
500	1107
501	1063
502	969
503	1018
504	969
505	905
506	1001
507	885
508	845
509	804
510	829
511	859
512	814
513	804
514	782
515	787
516	732
517	732
518	741
519	750
520	666
521	658
522	598
523	680
524	621
525	587
526	591
527	592
528	593
529	549
530	598
531	541
532	539
533	536
534	446
535	523
536	449
537	483
538	484
539	469
540	435
541	446
542	405
543	408
544	385
545	441
546	364
547	371
548	393
549	358
550	318
551	376
552	362
553	338
554	344
555	331
556	322
557	316
558	309
559	304
560	257
561	292
562	290
563	267
564	281
565	249
566	239
567	273
568	264
569	239
570	256
571	218
572	212
573	216
574	233
575	226
576	218
577	223
578	217
579	203
580	190
581	215
582	195
583	197
584	202
585	208
586	171
587	178
588	159
589	183
590	174
591	168
592	146
593	144
594	141
595	138
596	137
597	155
598	153
599	161
600	165
601	139
602	149
603	127
604	131
605	143
606	126
607	133
608	131
609	96
610	121
611	110
612	103
613	118
614	114
615	109
616	113
617	103
618	112
619	105
620	92
621	98
622	106
623	77
624	86
625	85
626	82
627	84
628	87
629	80
630	93
631	77
632	91
633	88
634	88
635	77
636	84
637	83
638	83
639	83
640	91
641	77
642	87
643	75
644	78
645	81
646	70
647	74
648	72
649	67
650	68
651	61
652	73
653	60
654	74
655	74
656	61
657	58
658	65
659	57
660	55
661	62
662	56
663	61
664	50
665	71
666	58
667	53
668	60
669	49
670	52
671	67
672	57
673	45
674	49
675	43
676	36
677	36
678	49
679	51
680	49
681	36
682	56
683	48
684	53
685	37
686	34
687	51
688	35
689	36
690	52
691	45
692	38
693	52
694	34
695	48
696	31
697	35
698	49
699	42
700	41
701	49
702	36
703	44
704	46
705	34
706	31
707	35
708	36
709	32
710	30
711	31
712	41
713	43
714	32
715	36
716	37
717	30
718	40
719	31
720	34
721	43
722	32
723	36
724	35
725	36
726	30
727	31
728	34
729	34
730	41
731	26
732	29
733	31
734	36
735	32
736	30
737	40
738	28
739	31
740	32
741	26
742	24
743	26
744	32
745	29
746	32
747	27
748	26
749	27
750	18
751	25
752	28
753	19
754	24
755	22
756	24
757	23
758	27
759	30
760	21
761	28
762	23
763	24
764	19
765	25
766	24
767	20
768	27
769	25
770	28
771	28
772	18
773	18
774	24
775	26
776	27
777	19
778	22
779	22
780	27
781	27
782	18
783	15
784	15
785	22
786	22
787	17
788	22
789	21
790	20
791	17
792	17
793	25
794	18
795	18
796	11
797	21
798	26
799	19
800	9
801	29
802	14
803	27
804	24
805	20
